2441714.458333	43.472400
2441742.458333	43.564800
2441773.458333	43.673700
2441803.458333	43.778200
2441834.458333	43.876300
2441864.458333	43.956200
2441895.458333	44.031500
2441926.458333	44.113200
2441956.458333	44.198200
2441987.458333	44.295200
2442017.458333	44.393600
2442048.458333	44.484100
2442079.458333	44.564600
2442107.458333	44.642500
2442138.458333	44.738600
2442168.458333	44.837000
2442199.458333	44.930200
2442229.458333	44.998600
2442260.458333	45.058400
2442291.458333	45.128400
2442321.458333	45.206400
2442352.458333	45.298000
2442382.458333	45.389700
2442413.458333	45.476100
2442444.458333	45.563300
2442472.458333	45.645000
2442503.458333	45.737500
2442533.458333	45.828400
2442564.458333	45.913300
2442594.458333	45.982000
2442625.458333	46.040800
2442656.458333	46.106700
2442686.458333	46.182500
2442717.458333	46.278900
2442747.458333	46.371300
2442778.458333	46.456700
2442809.458333	46.544500
2442838.458333	46.631100
2442869.458333	46.730200
2442899.458333	46.828400
2442930.458333	46.924700
2442960.458333	46.997000
2442991.458333	47.070900
2443022.458333	47.145100
2443052.458333	47.236200
2443083.458333	47.341300
2443113.458333	47.431900
2443144.458333	47.521400
2443175.458333	47.604900
2443203.458333	47.683700
2443234.458333	47.778100
2443264.416667	47.877100
2443295.416667	47.968700
2443325.416667	48.034800
2443356.416667	48.094200
2443387.416667	48.160800
2443417.458333	48.246000
2443448.458333	48.343900
2443478.458333	48.435500
2443509.458333	48.534400
2443540.458333	48.632500
2443568.458333	48.729400
2443599.458333	48.836500
2443629.416667	48.935300
2443660.416667	49.031900
2443690.416667	49.101300
2443721.416667	49.159100
2443752.416667	49.228600
2443782.416667	49.307000
2443813.458333	49.401800
2443843.458333	49.494500
2443874.458333	49.586200
2443905.458333	49.680500
2443933.458333	49.760200
2443964.458333	49.855600
2443994.416667	49.948900
2444025.416667	50.034700
2444055.416667	50.101900
2444086.416667	50.162200
2444117.416667	50.226000
2444147.458333	50.296800
2444178.458333	50.383100
2444208.458333	50.459900
2444239.458333	50.538700
2444270.458333	50.616100
2444299.458333	50.686600
2444330.458333	50.765800
2444360.416667	50.845400
2444391.416667	50.918700
2444421.416667	50.976100
2444452.416667	51.027800
2444483.416667	51.084300
2444513.458333	51.153800
2444544.458333	51.231900
2444574.458333	51.306300
2444605.458333	51.380800
2444636.458333	51.452600
2444664.458333	51.516000
2444695.416667	51.598500
2444725.416667	51.680900
2444756.416667	51.757300
2444786.416667	51.813300
2444817.416667	51.853200
2444848.416667	51.901400
2444878.458333	51.960300
2444909.458333	52.032800
2444939.458333	52.098500
2444970.458333	52.166800
2445001.458333	52.231600
2445029.458333	52.293800
2445060.416667	52.368000
2445090.416667	52.446500
2445121.416667	52.518000
2445151.416667	52.575200
2445182.416667	52.617800
2445213.416667	52.666800
2445243.458333	52.734000
2445274.458333	52.805600
2445304.458333	52.879200
2445335.458333	52.956500
2445366.458333	53.044500
2445394.458333	53.126800
2445425.416667	53.219700
2445455.416667	53.302400
2445486.416667	53.374700
2445516.416667	53.433500
2445547.416667	53.477800
2445578.416667	53.530000
2445608.458333	53.584500
2445639.458333	53.652300
2445669.458333	53.725600
2445700.458333	53.788200
2445731.458333	53.836700
2445760.458333	53.883000
2445791.416667	53.944300
2445821.416667	54.004200
2445852.416667	54.053600
2445882.416667	54.085600
2445913.416667	54.108400
2445944.416667	54.146300
2445974.458333	54.191400
2446005.458333	54.245200
2446035.458333	54.295800
2446066.458333	54.342700
2446097.458333	54.391100
2446125.458333	54.432000
2446156.416667	54.489800
2446186.416667	54.545600
2446217.416667	54.597700
2446247.416667	54.635500
2446278.416667	54.653200
2446309.416667	54.677600
2446339.458333	54.717400
2446370.458333	54.774100
2446400.458333	54.825300
2446431.458333	54.871300
2446462.458333	54.916100
2446490.458333	54.958100
2446521.416667	54.999700
2446551.416667	55.047600
2446582.416667	55.091200
2446612.416667	55.113200
2446643.416667	55.132800
2446674.416667	55.153200
2446704.458333	55.189800
2446735.458333	55.241600
2446765.458333	55.283800
2446796.458333	55.322200
2446827.458333	55.361300
2446855.458333	55.406300
2446886.416667	55.462900
2446916.416667	55.511100
2446947.416667	55.552400
2446977.416667	55.581200
2447008.416667	55.600400
2447039.416667	55.626200
2447069.458333	55.665600
2447100.458333	55.716800
2447130.458333	55.769800
2447161.458333	55.819700
2447192.458333	55.861500
2447221.458333	55.913000
2447252.416667	55.966300
2447282.416667	56.022000
2447313.416667	56.070000
2447343.416667	56.093900
2447374.416667	56.110500
2447405.416667	56.131400
2447435.458333	56.161100
2447466.458333	56.206800
2447496.458333	56.258300
2447527.458333	56.300000
2447558.458333	56.339900
2447586.458333	56.379000
2447617.416667	56.428300
2447647.416667	56.480400
2447678.416667	56.535200
2447708.416667	56.569700
2447739.416667	56.598300
2447770.416667	56.632800
2447800.458333	56.673900
2447831.458333	56.733200
2447861.458333	56.797200
2447892.458333	56.855300
2447923.458333	56.911100
2447951.458333	56.975500
2447982.416667	57.047100
2448012.416667	57.113600
2448043.416667	57.173800
2448073.416667	57.222600
2448104.416667	57.259700
2448135.416667	57.307300
2448165.458333	57.364300
2448196.458333	57.433400
2448226.458333	57.501600
2448257.458333	57.565300
2448288.458333	57.633300
2448316.458333	57.697300
2448347.416667	57.771100
2448377.416667	57.840700
2448408.416667	57.905800
2448438.416667	57.957600
2448469.416667	57.997500
2448500.416667	58.042600
2448530.458333	58.104300
2448561.458333	58.167900
2448591.458333	58.238900
2448622.458333	58.309200
2448653.458333	58.383300
2448682.458333	58.453700
2448713.416667	58.540100
2448743.416667	58.622800
2448774.416667	58.691700
